NO.,Article Title,Abstract,Publication Year
1,Real-Time Illegal Parking Detection in Outdoor Environments Using 1-D Transformation,"With decreasing costs of high-quality surveillance systems, human activity detection and tracking has become increasingly practical. Accordingly, automated systems have been designed for numerous detection tasks, but the task of detecting illegally parked vehicles has been left largely to the human operators of surveillance systems. We propose a methodology for detecting this event in real time by applying a novel image projection that reduces the dimensionality of the data and, thus, reduces the computational complexity of the segmentation and tracking processes. After event detection, we invert the transformation to recover the original appearance of the vehicle and to allow for further processing that may require 2-D data. We evaluate the performance of our algorithm using the i-LIDS vehicle detection challenge datasets as well as videos we have taken ourselves. These videos test the algorithm in a variety of outdoor conditions, including nighttime video and instances of sudden changes in weather.",05-Jun
2,Real-Time Illegal Parking Detection System Based on Deep Learning,"The increasing illegal parking has become more and more serious. Nowadays the methods of detecting illegally parked vehicles are based on background segmentation. However, this method is weakly robust and sensitive to environment. Benefitting from deep learning, this paper proposes a novel illegal vehicle parking detection system. Illegal vehicles captured by camera are firstly located and classified by the famous Single Shot MultiBox Detector (SSD) algorithm. To improve the performance, we propose to optimize SSD by adjusting the aspect ratio of default box to accommodate with our dataset better. After that, a tracking and analysis of movement is adopted to judge the illegal vehicles in the region of interest (ROI). Experiments show that the system can achieve a 99% accuracy and real-time (25FPS) detection with strong robustness in complex environments.",05-Jul
3,Illegal Parking Detection Algorithm Based on Video Surveillance,"Aiming at the shortcomings of traditional illegal parking detection methods such as low accuracy rate and high costs,this paper proposes a detection algorithm based on video surveillance.The moving objects are detected in video by using a codebook background modeling algorithm.The interference of other objects is filtered by computing the area of the connected region.Vehicles are classified according to the parking time.If illegal parked vehicles are found,the system will alarm.Experimental results demonstrate that the algorithm obtains high accuracy and achieves real-time performance.",
4,Illegal Parking Detection Using Gaussian Mixture Model and Kalman Filter,"Automatic analysis of videos for traffic monitoring has been an area of significant research in the recent past. In this paper, we proposed a system to detect and track illegal vehicle parking using Gaussian Mixture Model and Kalman Filter. i-LIDS dataset is used to test and evaluate the algorithm by comparing the results with the ground truth provided, we have tested the system using 4 full videos from i-LIDS to detect parked vehicle whiten specific area. Region of interest has been used to detect Vehicle parks in a no parking zone over sixty seconds and remains stationary. Within the scope of this work, we highlighted the components of an automated traffic surveillance system, including background modeling, foreground extraction, Kalman filter and Gaussian mixture model.",05-Jul
5,A Deep Learning based Illegal Parking Detection Platform,"Illegal parking is a critical problem in large, growing cities. Currently, the responsibility for detecting illegally parked vehicles has been left to law enforcement, which often requires manual inspection. To improve the efficiency of law enforcement for vehicle parking management, we propose a web-based analytic platform that leverages recent advancements in computer vision. This proposed platform provides an algorithm to improve the performance of detecting vehicle license plates from videos, based on an existing deep learning approach. Also, we provide a method to estimate vehicle parking locations. This platform is applicable for videos of security patrolling. End-users can define restricted zones via a map-based interface and all vehicles located in these areas can be efficiently identified once patrolling videos are received. This system is evaluated by two videos captured in real-world parking lots. The results indicate that the proposed platform can successfully identify vehicle plate numbers and estimate their parking locations to support the management of urban parking infrastructure.",05-Jul
6,Detection and recognition algorithm of illegal parking,"To overcome the shortcoming of the manual detection of illegal parking cars,a surveillance algorithm was developed to detect the illegal parking cars based on the image processing technology. A visual sensor was set at the forbidden parking region of the road to record the video sequence. An adaptive mixed Gaussian model was used to extract the background in the complicated environment. The still objects were detected by the temporal sequence feature of the pixel level. The still vehicles were recognized by the regional feature of the object level to get the illegal car parking information. The auto-alarm was realized according to the requirements from the regulation of different forbidden parking regions. The suggested algorithm was validated by the video sequence of the real traffic scenes to be effective.",
7,Smart Detection of Vehicle in Illegal Parking Area by Fusing of Multi-features,"Due to aisle, emergency lanes and other functional areas with rare events and lack of monitoring, an algorithm for smart detection of vehicle in illegal parking area was proposed. Firstly, region of interesting was selected. Secondly, Gaussian Mixture Model was used for background construction, and moving objects were detected by background subtraction. Thirdly, morphological processing was used for detection of relatively complete target, then fusing of ellipse fitting, compacted features detection and tire circularity detection for vehicle recognition. Experiments show that this algorithm could realize monitoring exactly and keep illegal parking area smooth.",2015
8,Multi-Vehicle Tracking Based Traffic Illegal Parking Detection,"Vehicle detection and tracking are the foundations of traffic violation punishment. The current methods have more parameters to be adjusted and can not adapt to the complex traffic scenes. For the purpose of practice application, we propose an illegal parking detection algorithm based on vehicle tracking theory. In order to filter the dynamic interferences such as vehicles parking for a long time, moving vehicles overlapping, and the vehicle losing momentarily from the video, a Gaussian mixture model is combined with the correlations among adjacent pixels to update background and eliminate noises. In allusion to complex traffic scenes, a fast multi-object tracking algorithm is presented to track occluded vehicles effectively. This method predicts vehicle trajectory by Kalman filter and achieves real-time object tracking state judgment by using the feature matching matrix. The experimental results show that this method can track multiple moving vehicles effectively and has high detection precision for illegal parking incidents.",05-Jul
9,Illegal parking detection using object interaction model,"With the development of safe city and surveillance cameras,automatic detection of illegal parking events is of great significance in the video automatic detection methods. Lots of target detection algorithms exist including feature + classifier method,video background subtraction method,and the deep-learning method. These methods are mostly concerned about the position and confirmation of license plates and traffic signs. According to this,a method based on object interaction model to detect illegally parking event is proposed in this paper: Firstly license plate is detected based on contour extraction and SVM; secondly the traffic sign is detected based on the shape and color; the last part judges whether illegal parking exists based on object interaction model.The above-mentioned method is regarded as a validity and reliability method by being tested in the real video scene.",
10,The Study of Highway Illegal Parking Real-time Detection Algorithm Based on Video,"Illegal parking of vehicles is an important incentive for highway incidents.Expedient and reliable illegal vehicles detection is a top priority of expressway traffic management and control.This paper presents a real-time highway vehicle parking detection algorithm based on video.First of all,the video-based detection system consists of illegal parking and the advantages of video detection are analyzed;then background subtraction algorithm and OSTU threshold method are combined to judge whether the vehicles is parking illegally.Experimental results show that the method has good results.",05-Jul
